"Name",0
"String","boolean"
"Lauri Ahlgren",
"Toni Aittoniemi",
"Seth Allison",
"John Atkinson",
"James Back",
"Richard Bangs",
"Vicent Boned",
"Dan Bonett",
"Javier Calvo",
"Maxime Cambier",
"Paolo Carabaich",
"Mariia Chernova",
"Jerry Chi",
"Thea Chow",
"John Cipriani",
"Patrick Corander",
"Sean Cornejo",
"Rick Crane",
"Niko Derome",
"Marko Drvarič",
"Jonathan Dower",
"Stefan Engblom",
"Jussi Ernsten",
"Rodrigo Estero De Haro",
"Taylor Fales",
"Tingting Fang",
"André Forni",
"Visa Forsten",
"Laura Gilliland",
"Miha Glavic",
"Andrew Gordon",
"Tommi Hakala",
"Ari Hamara",
"David Hart",
"Drew Haycock",
"Fredrik Herneoja",
"Hrvoje Horbec",
"Chih-Han Hsu",
"Jussi Hanski",
"Eino Joas",
"Janne Juhola",
"Essi Jukkala",
"Atte Järvinen",
"Katariina Kaita",
"Katerina Kaltampani",
"Lyosha Kalibin",
"Saara Kämäräinen",
"Jarmo Kauko",
"Matias Kirvelä",
"Rene Kivioja",
"Jonas Koli",
"Oyku Kural",
"Rauli Laatikainen",
"Manuel Langegger",
"Brice Laville Saint-Martin",
"Wook-Jin Lee",
"Ilkka Leino",
"Lassi Leppinen",
"Jani Lintunen",
"Julio Lopez",
"Aleksandar Markovic",
"Adam Massey",
"Matt Millwood",
"André Miranda",
"Graham Morriss",
"Avik Mullick",
"Dariya Nonezova",
"Taneli Oksama",
"Matti Palosuo",
"Ilya Pavlenkov",
"Valtteri Pirttilä",
"Meri-Tuulia Rautavuori",
"Riku Rikala",
"Heikki Salokanto",
"Jere Sanisalo",
"Pekka Sarkimo",
"Pauli Savolainen",
"Martin Schjøler",
"Mika Seppä",
"Jarno Seppänen",
"Steven Spencer",
"Timothy Smith",
"Donald Smith Jr.",
"Petri Styrman",
"Antti Summala",
"Nora Swithenbank",
"Yusuke Taniura",
"Arto Tervo",
"Erol Tekkanat",
"Ewan Thonger",
"Wilhelm Tigerstedt",
"Lotta Tiitto",
"Tibor Toth",
"Jouni Utriainen",
"Jussi Viiri",
"Valtter Vihervuori",
"Varun",
"Nadya Volchetskaya",
"Pavel Volkov",
"Tuomas Volotinen",
"Kustaa Vuori",
"Marcus Wagenführ",
"Lauri Warsta",
"Yuri Yoshimura",
"Chaohua Yuan",
"-",
"Michael Gurman",
"Timo Heinäpurola",
"Mikko Hokkanen",
"Lucas Kominek",
"Daniel Iosca",
"Kim Jensen",
"Mikko Lehtonen",
"Lasse Louhento",
"Antti Mattila",
"Douglas Portugal",
"Asko Puurula",
"Eric Reimer",
"Jannica Routamo",
"Hayato Sekiguchi",
"Ville Suur-Uski",
"Stijn Tops",
