"Name","TID","DescriptionTID","Type","TaskSlotIndex","IsEnabled","Score"
"String","String","String","String","int","boolean","int"
"DailyCompletion","TID_DAILY_TASK_DAILY_COMPLETION_NAME","TID_DAILY_TASK_DAILY_COMPLETION_DESC","DailyCompletion",-1,TRUE,1
"WeeklyCompletion","TID_DAILY_TASK_WEEKLY_COMPLETION_NAME","TID_DAILY_TASK_WEEKLY_COMPLETION_DESC","WeeklyCompletion",-1,TRUE,1
"PlayBattleTrophyRoad","TID_DAILY_TASK_PLAY_BATTLE_TROPHY_ROAD_NAME","TID_DAILY_TASK_PLAY_BATTLE_TROPHY_ROAD_DESC","PlayBattleTrophyRoad",0,FALSE,1
"PlayBattlePartyMode","TID_DAILY_TASK_PLAY_BATTLE_PARTY_MODE_NAME","TID_DAILY_TASK_PLAY_BATTLE_PARTY_MODE_DESC","PlayBattlePartyMode",0,FALSE,1
"PlayBattleChallengeOrTournament","TID_DAILY_TASK_PLAY_BATTLE_CHALLENGE_OR_TOURNAMENT_NAME","TID_DAILY_TASK_PLAY_BATTLE_CHALLENGE_OR_TOURNAMENT_DESC","PlayBattleChallengeOrTournament",0,FALSE,1
"PlayBattleRankedBattle","TID_DAILY_TASK_PLAY_BATTLE_RANKED_BATTLE_NAME","TID_DAILY_TASK_PLAY_BATTLE_RANKED_BATTLE_DESC","PlayBattleRankedBattle",0,FALSE,1
"PlayBattleClanWarsOrFriendly","TID_DAILY_TASK_PLAY_BATTLE_CLAN_WARS_OR_FRIENDLY_NAME","TID_DAILY_TASK_PLAY_BATTLE_CLAN_WARS_OR_FRIENDLY_DESC","PlayBattleClanWarsOrFriendly",0,FALSE,1
"PlayBattleAnyBattle","TID_DAILY_TASK_PLAY_BATTLE_ANY_BATTLE_NAME","TID_DAILY_TASK_PLAY_BATTLE_ANY_BATTLE_DESC","PlayBattleAnyBattle",0,"TRUE",1
"OpenChest","TID_DAILY_TASK_OPEN_CHEST_NAME","TID_DAILY_TASK_OPEN_CHEST_DESC","OpenChest",1,FALSE,1
"GetSomethingFromStore","TID_DAILY_TASK_GET_SOMETHING_FROM_STORE_NAME","TID_DAILY_TASK_GET_SOMETHING_FROM_STORE_DESC","GetSomethingFromStore",2,FALSE,1
"RequestCards","TID_DAILY_TASK_REQUEST_CARDS_NAME","TID_DAILY_TASK_REQUEST_CARDS_DESC","RequestCards",2,FALSE,1
"UseEmote","TID_DAILY_TASK_USE_EMOTE_NAME","TID_DAILY_TASK_USE_EMOTE_DESC","UseEmote",2,FALSE,1
"WinBattle","TID_DAILY_TASK_WIN_BATTLES_NAME","TID_DAILY_TASK_WIN_BATTLES_DESC","WinBattles",2,"TRUE",3
"EarnCrowns","TID_DAILY_TASK_EARN_CROWNS_NAME","TID_DAILY_TASK_EARN_CROWNS_DESC","EarnCrowns",1,"TRUE",10
