"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_SPELL_INFO_EVO_GOBLIN_GIANT","The bigger the sack, the bigger the... amount of Goblins spawned!\n\nAt low health, this Evolution will spawn a stream of Goblins. Take him out quickly!","Il en a plein le dos, celui-là ! Plein de gobelins !\n\nQuand ses PV sont bas, cette évolution fait apparaître une file de gobelins. Éliminez-le rapidement !","Je größer die Tragetasche, desto größer ... die Zahl der erscheinenden Kobolde!\n\nBei niedrigen Trefferpunkten lässt diese Entwicklung fortlaufend Kobolde erscheinen. Schalte den Koboldriesen schnell aus!","¡Ese saco no tiene fondo!\n\nCuando tenga poca salud, la evolución del duende gigante generará duendes sin parar. ¡Acaba con ella cuanto antes!","Più grande è il sacco, più goblin ci stanno!\n\nQuando la salute è bassa, questa truppa evoluta rilascerà continuamente dei goblin. Falla fuori in fretta, o saranno guai!","Hoe groter de zak, hoe groter... het aantal kobolden dat wordt voortgebracht!\n\nBij lage gezondheid brengt deze evolutie een stroom van kobolden voort. Schakel hem snel uit!","Jo større sekk, desto flere ... nisser blir generert!\n\nNår helsen er lav, vil denne evolusjonen generere en strøm av nisser. Eliminer ham fortere enn svint!","Çuval ne kadar büyükse içinden o kadar fazla Goblin çıkar!\n\nBu evrimleşmiş birlik, canı azaldığında bir dizi Goblin çağırır. Hızlıca yok etmeye çalış!","袋のサイズがアップして、運べるゴブリンの数もパワーアップ！？\n\nヒットポイントが少なくなると、大量のゴブリンを生成します。優先して撃破しましょう！","자루가 훨씬 커지고, 생성하는 고블린 수도 대폭 늘어났습니다!\n\nHP가 낮아지면 고블린을 끊임없이 쏟아냅니다. 그러니까 재빨리 처치하세요!","Чем больше мешок, тем больше там гоблинов!\n\nКогда у эволюционировавшего гоблина-гиганта остается мало здоровья, он призывает непрерывный поток гоблинов. Лучше разобраться с ним поскорее!","كلما كبر الكيس، زاد... عدد الغيلان الناتجة.\n\nسيقوم هذا التطوّر بإنتاج سلسلة من الغيلان عندما تكون صحته منخفضة. تخلص منه سريعًا.","Esse saco não tem fundo, não?\n\nQuando está com saúde baixa, a evolução do Goblin Gigante começa a gerar Goblins. Derrube o grandão o quanto antes!","麻袋越大，召唤的哥布林就......越多！\n\n生命值较低时，这张觉醒卡牌会不断召唤哥布林。快解决他！","麻袋越大，召喚的......哥布林就越多！\n\n生命值較低時，這張進化卡牌會不斷召喚哥布林。趕快解決他！","هرچه گونی بزرگتر باشه، تعداد... گابلین‌های تکثیرشده بیشتره!\n\nتو سطح سلامتی پایین، با این تکامل جماعتی از گابلین‌ها تکثیر می‌شه. سریع دخلشو بیار!","Dengan gendongan yang lebih besar, makin banyak Goblin yang bisa naik!\n\nSaat kesehatan Raksasa Goblin rendah, para Goblin akan terus keluar untuk membantu! Tumpas Raksasa Goblin dengan segera!","Semakin besar guni itu, semakin besar bilangan Goblin diwujudkan!\n\nApabila nilai nyawa rendah, evolusi ini akan terus mewujudkan Goblin. Tewaskan Gergasi Goblin ini segera!","ยิ่งถุงใหญ่เท่าไหร่ จำนวนก็อบลินที่ปล่อยออกมาก็ยิ่งมากขึ้นเท่านั้น!\n\nเมื่อมีพลังขีวิตต่ำ วิวัฒนาการนี้จะปล่อยก็อบลินออกมาดุจสายน้ำ โค่นเขาให้เร็วที่สุด!","Mitä suurempi säkki, sitä enemmän... hiisiä!\n\nKun evoluutiolla on vain vähän elinvoimaa jäljellä, se kutsuu areenalle liudan hiisiä. Hoitele se nopeasti!","Chiếc túi càng to thì tạo ra càng nhiều Yêu tinh!\n\nKhi lượng máu còn ít, đơn vị tiến hóa này sẽ liên tục tạo ra Yêu tinh. Hãy hạ gục anh ta càng nhanh càng tốt!"
"TID_SPELL_INFO_EVO_GOBLIN_DRILL","Let's play Whack-A-Drill!\n\nWhen deployed near enemy Crown Towers, Goblin Drill submerges and reappears around the tower as it takes damage, spawning Goblins each time.","C'est comme le jeu de la taupe !\n\nDéployée près des tours couronnées ennemies, la foreuse gobeline s'enfonce sous terre et refait surface près de la tour, lui infligeant des dégâts et faisant apparaître des gobelins.","Lass uns Hau-den-Bohrer spielen!\n\nWird er nahe eines gegnerischen Kronenturms eingesetzt, vergräbt sich der Koboldbohrer, wenn er Schaden erleidet, und taucht dann nahe des Turms wieder auf. Dabei lässt er jedes Mal Kobolde erscheinen.","¡Atrápala si puedes!\n\nCada vez que la excavadora de duendes reciba daño cerca de una torre de coronas rival, desaparecerá bajo tierra, reaparecerá cerca de la torre y generará duendes.","Ai goblin è venuta un'ideona: costringere gli avversari a giocare ad \qAcchiappa la trivella\q! Quando la trivella goblin evoluta è vicina a una torre della corona nemica e subisce una certa quantità di danni, torna sottoterra e riappare accanto alla torre, rilasciando ogni volta dei goblin.","We spelen mep de boor!\n\nAls de koboldenboor nabij een vijandelijke toren wordt ingezet, graaft die zich een weg naar de andere kant. Bij bovenkomst incasseert de boor telkens schade terwijl die kobolden voortbrengt.","Skal vi spille slå et bor?\n\nNår nisseboret blir utplassert i nærheten av fiendens kronetårn, går det under bakken og dukker opp igjen i nærheten av tårnet når det blir skadet. Hver gang genererer det nisser.","Köstebek vurmaca oynayalım!\n\nKöstebek, düşman taç kulelerinin yakınına yerleştirildiğinde hasar aldıkça yer altına girip kulenin yanında yeniden yüzeye çıkar ve her seferinde Goblinler çağırır.","モグラ叩きならぬ、ドリル叩きの始まりです！\n\n敵のタワー付近に投入したドリルは、ダメージを受けると一旦地下に潜り、タワー周辺の別の場所に再出現して毎回ゴブリンを生成します。","드릴과 술래잡기를 해볼까요?\n\n적 크라운 타워 근처에 배치된 고블린 드릴은 피해를 입으면 지하에 잠복했다가 고블린을 생성하며 타워 주변에 다시 나타납니다.","Гоблины придумали игру «Прибей бур»!\n\nРазмещенный возле вражеской башни гоблинский бур при получении урона уходит под землю и снова появляется рядом с башней, призывая при этом гоблинов.","لنلعب لعبة ضرب الحفار!\n\nعند نشر حفار الغيلان بالقرب من أبراج تاج العدو، سيغوص الحفار عند تعرضه للضرر، ثم يظهر مرة أخرى حول البرج وينتج الغيلان في كل مرة.","Tente parar a Escavadeira se puder!\n\nQuando mobilizada próxima a uma torre da coroa inimiga, conforme sofre dano, a Escavadeira de Goblins cava um buraco na terra e ressurge em um dos lados da torre, gerando Goblins no processo.","一起来玩打钻机吧！\n\n部署在敌方皇家塔附近时，哥布林钻机受到伤害后会钻入地下，然后在皇家塔周围重新钻出，同时召唤哥布林。","一起來玩打鑽機吧！\n\n部署在敵方皇家塔附近時，哥布林鑽地機受到傷害後會鑽入地下，然後在皇家塔周圍重新鑽出，同時召喚哥布林。","بیایید نبرد مته رو بازی کنیم!\n\nمته گابلین وقتی نزدیک برج‌های تاج دشمن مستقر بشه، زیر زمین غیب می‌شه و نزدیک برج دوباره ظاهر می‌شه و آسیب می‌زنه و هر بار گابلین تکثیر می‌کنه.","Apakah kamu bisa menebak di mana mereka akan muncul?\n\nKetika dikerahkan di dekat Benteng Mahkota, Bor Goblin akan menyusup dalam tanah saat menerima kerusakan dan muncul kembali di sekitar Benteng! Akan ada Goblin yang keluar di setiap kemunculannya!","Hentam mereka apabila muncul!\n\nApabila dikerahkan dekat dengan menara mahkota musuh, Gerudi Goblin akan menerima kerosakan, membenam dan muncul semula di sekitar menara, mewujudkan Goblin setiap kali keluar.","มาเล่นเกมทุบสว่านกัน!\n\nเมื่อวางกองกำลังใกล้หอคอยมงกุฎของฝั่งศัตรู สว่านก็อบลินจะเจาะมุดลงใต้ดินและโผล่ขึ้นมารอบหอคอยอีกครั้ง เมื่อได้รับความเสียหายจะปล่อยก็อบลินออกมาในแต่ละครั้ง","Mojautetaan hiisiporaa!\n\nKun hiisipora sijoitetaan lähelle vihollisen kruunutorneja, kärsiessään tuhoa se kaivautuu maan alle, ilmestyy tornin toiselle puolelle ja kutsuu joka kerta hiisiä areenalle.","Cùng chơi trò đập máy khoan nào!\n\nKhi được triển khai gần Tháp Vương miện của kẻ địch và nhận một lượng sát thương nhất định, Máy khoan Yêu tinh sẽ chui xuống đất, sau đó lại trồi lên xung quanh tòa tháp, và mỗi lần như vậy chiếc máy khoan này sẽ thả ra một số Yêu tinh."
"TID_SUBMERGE_HITPOINT_THRESHOLDS","Activation","Activation","Aktivierung","Activación","Attivazione","Activering","Aktivering","Etkinleştirme","有効化","활성화","Активация","التفعيل","Ativação","激活","啟用","فعال‌سازی","Aktivasi","Pengaktifan","การเปิดใช้งาน","Aktivointi","Kích hoạt"
"TID_SUBMERGE_TIME","Time Submerged","Durée sous terre","Zeit im vergrabenen Zustand","Tiempo bajo tierra","Tempo sottoterra","Tijd ondergronds","Tid under bakken","Yer Altındaki Zaman","潜伏時間","지하 잠복 시간","Время под землей","المدة تحت الأرض","Tempo debaixo da terra","钻地时间","鑽地時間","زمان مخفی شدن زیر زمین","Waktu dalam Tanah","Masa Membenam","ระยะเวลาที่มุดดิน","Kaivautumisaika","Thời gian chui xuống đất"
"TID_SPAWNS_ON_SUBMERGE","Spawn On Submerge","Gobelins invoqués","Beschw. Kobolde beim Vergraben","Duendes generados","Goblin generati alla fuga","Voortgebrachte kobolden","Generering under bakken","Çağrılan Goblin","潜伏時生成","잠복 중 생성","Призываемые гоблины","الغيلان الناتجة عند الحفر","Geração ao imergir","钻地召唤数量","鑽地召喚數量","تکثیر هنگام مخفی شدن زیر زمین","Pengerahan dalam Tanah","Pewujudan apabila terbenam","จำนวนก็อบลินที่ปล่อยเมื่อมุดดิน","Kutsutut hiidet","Thả Yêu tinh khi chui xuống đất"
"TID_SPELL_ROCKET_SILO","Rocket Silo","Silo de roquettes","Raketensilo","Silo explosivo","Razzo-silo","Raketsilo","Rakettsilo","Roket Deposu","ロケットサイロ","로켓 사일로","Ракетная установка","الصومعة الصاروخية","Foguete Subterrâneo","火箭发射筒","火箭發射筒","زاغه موشک","Silo Roket","Silo Roket","จรวดไซโล","Rakettisiilo","Bệ phóng Tên lửa"
"TID_CHRONOS_TOWERSKIN62","Fort Goblin","Fort gobelin","Fort Kobold","Fortín duende","Fortino goblin","Fort Kobold","Fortnisse","Goblin Kalesi","ゴブリン要塞","고블린 요새","Гоблинский форт","حصن الغول","Fortaleza Goblin","哥布林堡","哥布林基地","گابلین دژ","Benteng Roket","Kubu Goblin","ปราการก็อบลิน","Hiisilinnake","Pháo đài Yêu tinh"
"TID_CHRONOS_TOWERSKIN1027","Camouflage Castle","Château camouflé","Getarnte Burg","Bastión camuflado","Torre mimetizzata","Camouflagekasteel","Kamuflasjeborg","Kamuflajlı Kale","密林の砦","위장한 성","Камуфляжная башня","القلعة المموهة","Castelo camuflado","伪装堡垒","偽裝堡壘","قلعه استتار","Kastel Kamuflase","Istana Samaran","ปราสาทพรางกาย","Maastolinnoitus","Lâu đài ngụy trang"
"TID_DAILY_TASK_PLAY_BATTLE_TROPHY_ROAD_NAME","Play Trophy Road","Jouer sur la voie des trophées !","Kämpfe auf dem Trophäenpfad","Juega en el camino de trofeos","Combatti nel Cammino dei trofei","Speel het trofeeënpad","Spill troféveien","Kupa Yolunda oyna","トロフィー目標を\nプレイ","트로피 진척도 플레이하기","Сыграй на пути к славе","لعب مسار الكؤوس","Jogue no caminho de troféus","奋战皇室征程","遠征榮耀之路","در «جاده جام» بازی کن","Main Jalan Trofi!","Main Jalan Trofi","เล่นถนนถ้วยรางวัล","Pelaa pokaalipolkua","Chơi Cột mốc Cúp"
