"Name","Disabled","CustomKey","Group","Location","Condition","Dependency","PermittedInput","ServerCommand","FinishRequirement","SkipCondition","FileName","PopupCorner","PopupExportName","BubbleExportName","TID","Sound","ForceSpellTile","DisableOtherSpells","SpellTileX","SpellTileY","SpellTileSearch","DisableSpells","HideCombatUI","DisableTroopMovement","DisableSpawnPoints","DisableOpponentSpells","PauseCombat","DisableAbility","Taunt","HightlightTargetSearch","DisableBattleStartScreen","StageTargetQuery","ForceOpenUI","SkipIfActiveOnLogin","OnStart","ResetIfActiveOnLogin"
"String","Boolean","String","String","String","String","String","String","String","String","String","String","int","String","String","String","String","boolean","boolean","int","int","String","boolean","boolean","boolean","boolean","boolean","boolean","boolean","String","string","boolean","string","string","boolean","string","boolean"
"G_1_Delay",,"GoblinRoad",,,,,,,"skip","getTimeMS() > 5000",,,,,,,,,,,,,,,,,,,,,,,,,,
"G_1_Speaks",,"GoblinRoad",,,,,,,,,"sc/tutorial.sc",4,"tutorial_character1_left","bubble_tutorial_anim","TID_TUTORIAL_KING_WELCOME","sound_tutorial_first_vo",,,,,,"TRUE","TRUE","TRUE",,"TRUE","TRUE",,,,"true",,,,,
"G_1_GiveElixir",,"GoblinRoad",,,"timeFromLastStepMS() > 3000",,,"grantElixirSpent:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GTR_Tutorial_3_Delay1",,"GoblinRoad_Tutorial",,,,,,,"skip","getTimeMS() > 12000",,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,
"GTR_Tutorial_3_GQ_Speaks1",,"GoblinRoad_Tutorial",,,,"GTR_Tutorial_3_Delay1",,,,,"sc/ui_giveaway_tutorial_goblins.sc",4,"tutorial_giveaway_character_queen_02","bubble_tutorial_anim","TID_TUTORIAL_GTR_QUEEN_TEXT_6",,,,,,,"TRUE","TRUE","TRUE",,,"TRUE",,,,"true",,,,,
"GTR_Tutorial_3_Delay2",,"GoblinRoad_Tutorial",,,,"GTR_Tutorial_3_GQ_Speaks1",,,"skip","timeFromLastStepMS() > 1000",,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,
"GTR_Tutorial_3_GrantElixir1",,"GoblinRoad_Tutorial",,,,"GTR_Tutorial_3_Delay2",,"grantElixirSpent:14",,"timeFromLastStepMS() > 1000",,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,
"GTR_Tutorial_3_GQ_Speaks2",,"GoblinRoad_Tutorial",,,,"GTR_Tutorial_3_GrantElixir1",,,,,"sc/ui_giveaway_tutorial_goblins.sc",4,"tutorial_giveaway_character_queen_02","bubble_tutorial_anim","TID_TUTORIAL_GTR_QUEEN_TEXT_7",,,,,,,"TRUE","TRUE","TRUE",,,"TRUE",,,,,,,,,
"GTR_Tutorial_3_Show_UI1",,"GoblinRoad_Tutorial",,,,"GTR_Tutorial_3_GQ_Speaks2",,,"skip","timeFromLastStepMS() > 1000",,,,,,,,,,,,"TRUE",,,,"TRUE",,"TRUE",,,,,,,,
"GTR_Tutorial_3_Deploy_GGaint1",,"GoblinRoad_Tutorial",,,"timeFromLastStepMS() > 1000","GTR_Tutorial_3_Show_UI1","dragSpell:GoblinGiant",,"dragSpell:GoblinGiant",,,,,,,,"TRUE","TRUE",7,35,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"GTR_Tutorial_3_Hide_UI2",,"GoblinRoad_Tutorial",,,,"GTR_Tutorial_3_Deploy_GGaint1",,,"skip","timeFromLastStepMS() > 3000",,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
"GTR_Tutorial_3_GQ_Speaks3",,"GoblinRoad_Tutorial",,,,"GTR_Tutorial_3_Hide_UI2",,,,,"sc/ui_giveaway_tutorial_goblins.sc",4,"tutorial_giveaway_character_queen_02","bubble_tutorial_anim","TID_TUTORIAL_GTR_QUEEN_TEXT_8",,,,,,,"TRUE","TRUE","TRUE",,,"TRUE",,,,,,,,,
"GTR_Tutorial_3_Show_UI2",,"GoblinRoad_Tutorial",,,,"GTR_Tutorial_3_GQ_Speaks3",,,"skip","timeFromLastStepMS() > 1000",,,,,,,,,,,,"TRUE",,,,"TRUE",,"TRUE",,,,,,,,
"GTR_Tutorial_3_Deploy_DartGoblin1",,"GoblinRoad_Tutorial",,,"timeFromLastStepMS() > 500","GTR_Tutorial_3_Show_UI2","dragSpell:BlowdartGoblin",,"dragSpell:BlowdartGoblin",,,,,,,,"TRUE","TRUE",7,35,,,,"TRUE",,,"TRUE","TRUE",,,,,,,,
"GTR_Tutorial_3_Hide_UI3",,"GoblinRoad_Tutorial",,,,"GTR_Tutorial_3_Deploy_DartGoblin1",,,"skip","timeFromLastStepMS() > 2000",,,,,,,,,,,,"TRUE","TRUE",,,"TRUE",,"TRUE",,,,,,,,
